alert_id,alert_type,severity,message,trigger_time,notification_sent
cacd42d4-7,System Error,Low,Maintain cold performance ball hair.,2025-04-16 15:47:09,False
e5ad72c8-9,System Error,Low,Paper theory leave issue soldier visit.,2025-04-17 03:19:53,True
f060e2cb-f,Stock Low,Low,Deep food cut only budget.,2025-04-02 04:50:38,False
d619a8d8-7,System Error,High,Trial provide court wife.,2025-04-09 16:13:52,True
45a7e97e-c,System Error,Medium,Detail president once leave activity age.,2025-04-15 13:28:24,False
fadac0d5-0,System Error,Low,Yes affect young law stuff.,2025-04-03 09:28:48,True
2af6f145-1,Stock Low,High,Heart nor inside finally technology key war.,2025-04-07 00:38:15,True
afe87272-b,Fraud,Low,Popular responsibility human focus likely.,2025-04-17 20:27:02,False
b7688583-f,System Error,High,Head language hot yes.,2025-04-13 22:21:20,False
5df27ec4-5,Fraud,Low,Wait by section south arrive since.,2025-04-05 13:09:16,True
94edb873-0,Stock Low,Low,Total evidence ability wide shoulder expect.,2025-04-12 11:47:03,True
c4e8e7b4-0,Stock Low,Medium,Do example citizen than.,2025-04-14 05:03:46,False
770bb0ef-0,Fraud,High,Safe last nearly top.,2025-04-11 07:29:33,True
50632d5c-6,System Error,Low,Relate remember artist view ready job.,2025-04-05 06:03:40,False
a797ac05-0,Stock Low,Medium,Mission while pull give.,2025-04-13 01:15:29,False
4174ff27-5,System Error,Medium,Cut institution democratic travel financial color society.,2025-04-03 03:29:25,True
0b87676a-a,Fraud,Low,Whether from reason ago condition fight gun.,2025-04-16 15:59:41,True
3212f896-7,Stock Low,High,Drop toward option particular.,2025-04-18 17:50:06,False
592d17a5-d,System Error,High,Conference career though recent.,2025-04-09 16:03:56,True
0a642fc5-1,Fraud,Low,Despite drive feel senior.,2025-04-17 20:10:11,False
06d11406-8,Fraud,Medium,Course speak present actually partner modern instead.,2025-04-07 22:19:53,False
75765896-0,Fraud,High,Unit subject suggest believe father guy.,2025-04-01 19:19:23,False
aa0a9c60-d,Stock Low,High,Play some likely how.,2025-04-13 15:33:04,True
256733fd-c,System Error,High,Sort western teach true force expert.,2025-04-04 14:56:38,True
9feff58a-c,System Error,Medium,Firm relate person.,2025-04-15 01:37:18,True
2de15207-e,Stock Low,Low,Poor hotel during defense meeting.,2025-04-11 10:40:54,False
a3b06b7b-a,Stock Low,High,Difference early just body provide television.,2025-04-06 18:28:39,False
51cfdbe6-e,Fraud,High,Computer ok ten low.,2025-04-18 04:45:34,True
b8291519-e,System Error,High,South strong enjoy act technology.,2025-04-10 15:28:05,False
13e2074c-3,Fraud,Medium,Improve serve however indicate reach.,2025-04-15 11:36:24,False
b2cc3aec-5,System Error,High,Bar where course issue child.,2025-04-12 21:47:30,False
04fcc2ae-a,Stock Low,High,Sport speech memory.,2025-04-16 19:57:55,True
10bba435-2,Fraud,Medium,Everybody major marriage popular morning strategy chance.,2025-04-17 04:17:12,False
71bc55f9-a,Stock Low,High,Out job quite resource.,2025-04-09 19:58:00,False
0ee2003f-9,Fraud,Low,Work this pretty west public these writer.,2025-04-16 23:52:43,False
13a9a44f-d,Fraud,High,Hand office world crime visit.,2025-04-03 23:45:48,False
c48f0482-7,System Error,Medium,Group themselves since mean tend draw coach direction.,2025-04-11 23:01:02,False
d3faec77-a,Fraud,Low,Along father drug reflect adult outside.,2025-04-01 09:14:05,True
754aa16c-8,Fraud,Medium,Require hard positive job foot design including population.,2025-04-02 10:40:52,False
1a110202-b,Stock Low,High,Sign chair field another everybody already consumer.,2025-04-18 20:59:06,True
0f83e11b-a,Stock Low,Medium,Court heart have Mrs hit consider.,2025-04-16 01:03:12,False
e9b6cd25-6,Stock Low,High,It article dark morning expert.,2025-04-08 20:26:46,False
