transaction_id,product_id,quantity_sold,unit_price,sale_date,total_price,anomaly
9530ea41-f,P197,1,490.52,2025-01-18,490.52,-1
425fc33f-a,P562,3,497.95,2025-02-25,1493.85,-1
85c5dd4c-e,P186,19,487.04,2025-04-02,9253.76,-1
6ef42a75-9,P263,20,484.88,2025-04-06,9697.6,-1
ca039407-1,P389,19,485.68,2025-03-23,9227.92,-1
76982f38-9,P387,1,63.76,2025-02-08,63.76,-1
99b73190-e,P099,14,499.47,2025-01-20,6992.58,-1
475afa1e-4,P275,20,487.89,2025-01-18,9757.8,-1
fe402ae3-9,P052,19,474.8,2025-03-13,9021.2,-1
ded8e801-b,P971,20,70.53,2025-02-02,1410.6,-1
d7c7bc16-f,P919,1,53.91,2025-02-22,53.91,-1
33bf9004-7,P244,1,472.69,2025-04-15,472.69,-1
8383981d-f,P202,1,60.22,2025-02-10,60.22,-1
6bc8f1da-6,P324,20,415.41,2025-03-17,8308.2,-1
1803a68a-e,P563,20,377.09,2025-02-24,7541.799999999999,-1
31cbd885-e,P846,14,53.69,2025-03-15,751.66,-1
94a26a29-5,P938,20,484.55,2025-03-07,9691.0,-1
6e2826a0-9,P608,18,493.61,2025-01-26,8884.98,-1
c25089d0-7,P891,20,420.78,2025-02-27,8415.599999999999,-1
4b18e421-1,P109,19,57.14,2025-02-07,1085.66,-1
fb76225e-0,P958,20,488.51,2025-04-12,9770.2,-1
2a2607fe-b,P290,20,453.94,2025-04-03,9078.8,-1
5eb0c735-e,P680,20,481.28,2025-02-13,9625.599999999999,-1
2b603827-f,P050,19,487.28,2025-03-09,9258.32,-1
75d66b75-5,P673,16,497.72,2025-02-10,7963.52,-1
