product_id,product_name,category,price_per_unit,stock_quantity,supplier_id,last_restocked
b77b8ce0-6,Yeah,Groceries,1352.36,96,93f468c4-a,2025-04-13 03:59:02
52c0f6c5-7,Skill,Furniture,1139.6,158,3c185107-e,2025-04-07 01:42:40
c28dcd83-7,Admit,Clothing,2648.73,111,fbd9dcf4-b,2025-04-17 08:51:53
5954c846-7,Daughter,Books,3168.84,103,0040469d-2,2025-04-14 01:29:46
ead9c331-f,Prepare,Books,3683.64,82,5288a33d-1,2025-04-07 21:40:02
ea10df15-4,Fly,Books,457.02,160,bb77c6a0-c,2025-04-10 18:47:49
23282239-d,Assume,Clothing,207.21,163,18e48380-1,2025-04-02 17:58:12
e9bff6ed-0,Join,Groceries,4784.67,145,f7312508-9,2025-04-16 05:27:12
d9db1a8a-5,Piece,Electronics,2408.61,173,87294693-e,2025-04-02 22:02:33
5b1dd758-9,Matter,Groceries,4036.0,127,7e794cc6-f,2025-04-17 19:17:56
97c0d8d4-e,Full,Groceries,598.11,200,ea5c6cec-e,2025-04-15 02:52:02
43395dd9-e,Continue,Groceries,1114.67,140,4d13c166-4,2025-04-05 04:54:46
bdeb04c6-6,Region,Groceries,2791.35,200,c1367802-7,2025-04-05 05:21:39
f78352eb-c,Though,Furniture,2597.21,127,aef4fb71-1,2025-04-18 08:31:50
9a958ce8-0,Recognize,Electronics,1596.12,190,7b434151-2,2025-04-08 15:30:00
a6f73525-0,Agency,Furniture,4314.21,67,28ac3b55-4,2025-04-03 15:48:52
e2559fad-d,Year,Books,484.98,34,9ae2e2b2-5,2025-04-15 12:16:33
1137bfe2-4,Way,Furniture,4692.25,159,007defa4-a,2025-04-14 01:20:45
c48cce92-c,Eye,Groceries,2903.27,45,6d9958b2-e,2025-04-03 19:47:15
13decee3-9,Push,Clothing,2004.33,87,853acc85-1,2025-04-18 08:11:54
e007ef0a-d,Specific,Furniture,120.67,118,1983956f-9,2025-04-09 05:17:45
6d2adae0-3,None,Furniture,3778.49,53,2040955d-9,2025-04-18 18:16:15
435ff49e-c,People,Clothing,4617.43,65,7e794cc6-f,2025-04-02 20:23:36
d66e55fb-2,Natural,Furniture,3115.24,81,d91275f0-5,2025-04-13 01:14:31
e9fa415b-4,To,Books,2805.54,34,aade3cbd-f,2025-04-17 11:39:05
f2fa5e21-e,Size,Electronics,2959.85,132,e11d2cc8-2,2025-04-12 00:33:13
c44607a1-6,Former,Furniture,3144.03,72,5db2f2d6-2,2025-04-17 14:14:55
02d4e482-3,Second,Electronics,1290.99,122,ceb85bc4-a,2025-04-13 05:08:06
d3952d35-0,Young,Groceries,2455.13,154,9c6cb8ef-a,2025-04-07 01:50:50
befadc51-9,Defense,Electronics,4609.92,102,ceb85bc4-a,2025-04-11 23:53:52
f975d3ec-a,Surface,Books,4014.77,119,7e794cc6-f,2025-04-04 14:27:11
fefeb896-0,Staff,Clothing,1418.57,62,b7c25062-a,2025-04-12 01:32:41
9d584171-9,Better,Furniture,3139.65,118,10f70d13-7,2025-04-09 06:05:16
8da59db6-3,How,Furniture,4316.89,21,56efd4c5-0,2025-04-17 23:12:42
ec2f8b4b-8,Look,Books,2096.21,199,1623ff46-2,2025-04-04 08:15:48
0591a423-0,Establish,Groceries,4533.67,117,853acc85-1,2025-04-06 04:36:04
1206f00a-0,Of,Electronics,2708.65,98,1983956f-9,2025-04-08 18:17:41
d7df447c-7,Name,Groceries,2656.62,149,f4170ad8-9,2025-04-10 11:20:24
f56d262d-4,School,Groceries,2290.18,54,ea5c6cec-e,2025-04-16 19:32:18
140750a0-1,Mean,Furniture,341.15,171,9683e165-2,2025-04-01 07:54:58
84c94a80-d,Decision,Electronics,1764.35,10,f2f37f58-3,2025-04-14 00:31:37
779a8fbe-d,Evidence,Groceries,4311.49,87,bb77c6a0-c,2025-04-15 00:43:30
abb91990-1,Speak,Electronics,1547.77,102,4e019d36-e,2025-04-08 08:40:52
ee4d855e-3,Again,Electronics,3481.53,68,b8014e04-4,2025-04-17 10:36:44
11128a0d-a,Agreement,Groceries,1226.09,171,9991896e-a,2025-04-04 17:43:20
b9cb9c26-7,North,Furniture,1750.2,50,2d4e9794-6,2025-04-11 12:18:54
ea696e14-f,Figure,Books,3231.34,142,ae08a7a9-a,2025-04-12 08:17:50
a73321a5-a,Trouble,Clothing,3636.94,141,761c3cc5-7,2025-04-02 01:14:00
f7dbb174-d,Environment,Furniture,3838.12,113,05843fd4-9,2025-04-06 07:18:43
421f3be7-8,At,Books,2240.08,88,dd59d969-7,2025-04-01 18:22:11
9b132f50-5,Number,Furniture,95.36,160,3240403d-5,2025-04-11 02:59:28
9dd15782-3,Nothing,Furniture,4674.06,169,c6e383c4-3,2025-04-16 10:28:22
95699b19-d,Year,Electronics,4027.48,154,0040469d-2,2025-04-03 02:00:46
6f01f108-6,Expert,Furniture,2249.53,28,c6e383c4-3,2025-04-16 21:24:52
c32014b7-4,Method,Electronics,333.57,145,d6bbcb73-6,2025-04-06 10:29:47
599e3faa-b,Name,Clothing,264.2,85,f8aca239-f,2025-04-16 02:27:25
46298e98-a,Realize,Books,3775.62,32,3dcdd2f0-a,2025-04-01 21:21:51
fca61d10-e,Choice,Electronics,421.86,166,fbd9dcf4-b,2025-04-12 22:10:46
0e904bf1-5,Able,Groceries,1193.04,15,b68965e9-1,2025-04-15 15:09:59
