transaction_id,product_id,quantity_sold,unit_price,sale_date
eecc33b8-7,P796,8,276.33,2025-03-25
b7f9394d-4,P125,6,111.87,2025-04-01
de7cde47-e,P683,13,238.45,2025-02-14
ccb2054a-0,P984,17,305.53,2025-04-03
971fa6bf-a,P006,4,379.94,2025-01-24
d5803c02-c,P399,7,254.18,2025-04-11
9530ea41-f,P197,1,490.52,2025-01-18
f7f640cf-f,P304,5,139.15,2025-03-20
347782ff-e,P356,4,382.49,2025-04-16
ad24cf46-2,P257,17,132.37,2025-04-06
e758edc5-4,P139,4,160.61,2025-03-27
e6c4b37e-a,P055,2,200.74,2025-04-09
324ee092-1,P452,2,397.85,2025-04-03
502f2b3f-3,P051,16,167.53,2025-01-23
612890c0-f,P484,19,279.24,2025-01-20
17c585c8-e,P107,10,429.53,2025-04-04
e476762b-8,P980,16,419.3,2025-01-22
1d52b6f1-6,P501,18,434.84,2025-03-06
90aede6b-b,P396,5,456.77,2025-03-24
425fc33f-a,P562,3,497.95,2025-02-25
6a6c403d-1,P629,10,277.09,2025-04-07
5208805c-e,P886,10,289.2,2025-02-02
67151903-a,P802,4,354.0,2025-03-21
74a8360b-4,P163,4,491.37,2025-01-02
85c5dd4c-e,P186,19,487.04,2025-04-02
1e898195-3,P889,10,372.69,2025-03-19
378c1fbe-b,P595,8,475.83,2025-01-09
1846d02a-8,P477,16,387.02,2025-01-08
3cd0cd79-e,P169,10,473.77,2025-01-24
06ba3cdf-f,P482,10,461.0,2025-01-30
506012e3-f,P427,18,339.98,2025-03-14
781c34af-6,P585,14,385.86,2025-03-07
dbc964ea-b,P208,7,236.62,2025-01-29
9ff4d5dc-4,P834,15,286.7,2025-04-06
47547626-6,P863,13,293.91,2025-04-13
3b500fb4-5,P785,8,258.29,2025-03-16
255d4b84-b,P511,3,204.73,2025-02-26
0049669e-7,P989,3,190.4,2025-02-28
45cd2a8a-3,P966,5,373.06,2025-04-15
169f74fc-1,P184,20,96.67,2025-04-15
a1770f56-5,P176,15,262.72,2025-02-09
425a0c5b-1,P813,4,326.05,2025-03-04
b0e143dd-8,P308,5,287.13,2025-03-20
c471ddb7-8,P723,3,479.63,2025-03-20
8d13eb84-4,P240,11,367.78,2025-04-08
d417f546-9,P393,11,458.43,2025-03-07
46e40327-f,P277,2,316.8,2025-03-04
12f1a4c5-6,P674,19,93.18,2025-01-06
4beca2b8-6,P417,1,88.29,2025-03-31
6953bd7c-7,P705,11,367.61,2025-01-16
ecd75148-d,P357,6,119.72,2025-01-31
9213ae60-c,P235,3,149.99,2025-03-17
b15c5acc-5,P802,13,176.26,2025-03-07
e3bdf86d-9,P174,2,488.18,2025-03-04
6ef42a75-9,P263,20,484.88,2025-04-06
0e566478-f,P043,8,463.64,2025-01-24
0af672ef-7,P130,14,288.85,2025-04-14
0fecd276-e,P650,19,340.59,2025-04-17
8bd0ebe7-e,P997,10,396.26,2025-02-27
4913d106-f,P652,8,60.74,2025-01-26
51b416e6-0,P779,7,148.76,2025-04-04
7c75c2bc-6,P807,2,58.24,2025-04-05
51ee23bc-8,P488,10,496.35,2025-02-25
5d4322a7-8,P159,10,131.91,2025-02-09
bf411535-4,P174,12,108.86,2025-04-15
6d8fb252-5,P118,10,65.38,2025-02-05
0f949309-a,P892,18,72.41,2025-02-14
e363032e-7,P544,9,302.39,2025-04-11
4e9abb95-a,P986,3,109.99,2025-04-05
5944b4ad-a,P174,2,174.24,2025-03-10
9ac7f5ed-8,P479,5,258.58,2025-02-09
5cfb01b7-7,P703,11,319.35,2025-04-05
0adc77a4-0,P153,12,169.93,2025-02-23
1e81fdc4-0,P759,7,212.33,2025-02-07
ca039407-1,P389,19,485.68,2025-03-23
c5982fe0-8,P520,1,109.19,2025-01-09
b7e3332f-8,P138,10,283.11,2025-02-09
3c4e0486-c,P462,4,185.55,2025-01-22
39aa726e-3,P568,2,425.41,2025-01-30
ef096c3c-5,P367,7,372.84,2025-04-02
d22a343f-e,P762,2,342.76,2025-04-05
2e2b2cf2-7,P385,4,238.24,2025-02-10
4a6f25dc-a,P286,5,58.79,2025-03-26
e61785a0-6,P673,6,413.83,2025-03-27
6d2b8d54-2,P388,7,443.5,2025-03-03
042efce2-1,P181,15,253.96,2025-03-01
0275c6f2-d,P599,8,252.45,2025-03-20
f5f58df4-c,P452,11,359.88,2025-01-06
bad8d7c2-3,P235,9,346.51,2025-04-09
144a1b4e-3,P256,16,342.7,2025-04-07
bc8d3cc8-9,P661,18,367.69,2025-01-11
c1a18738-f,P107,6,111.72,2025-02-12
83cd94b4-9,P180,9,57.5,2025-02-23
e056933a-2,P774,4,307.08,2025-01-01
3c0e7654-5,P652,19,292.02,2025-01-21
812721f2-8,P495,16,315.44,2025-04-02
79f1b4c0-5,P444,7,349.29,2025-01-21
76f3651a-5,P125,12,447.56,2025-01-25
717f1497-d,P045,5,162.69,2025-01-31
26e6f6ad-d,P223,16,64.55,2025-02-28
a6f9431c-2,P628,10,148.25,2025-01-05
6e77e3e4-d,P311,19,296.72,2025-04-07
c7fc9545-c,P384,13,72.0,2025-01-08
8daaafa0-7,P404,7,128.76,2025-03-09
012f105e-1,P197,17,199.04,2025-01-03
76982f38-9,P387,1,63.76,2025-02-08
2540f82f-7,P307,19,122.49,2025-03-10
99b73190-e,P099,14,499.47,2025-01-20
0ec54b19-b,P829,19,85.29,2025-01-13
9665995a-5,P987,16,348.13,2025-04-11
fab44444-8,P067,17,121.55,2025-03-07
40205fa9-b,P931,9,434.47,2025-01-12
84b738ef-2,P074,16,404.94,2025-04-02
a966980d-d,P315,14,102.79,2025-03-17
3de907ad-5,P707,16,385.66,2025-03-13
d902d362-2,P302,16,128.74,2025-03-07
7f83d840-0,P941,7,469.36,2025-04-08
4dedfc80-d,P141,14,114.7,2025-02-06
7b54db28-e,P733,11,143.61,2025-02-26
4bf9903a-4,P230,10,344.87,2025-02-28
9f546982-f,P091,9,473.65,2025-02-11
a2f7f5b3-c,P120,6,268.21,2025-01-31
475afa1e-4,P275,20,487.89,2025-01-18
b0287a20-a,P337,5,224.57,2025-02-20
bc6a106c-e,P450,13,277.31,2025-01-20
30839b16-5,P596,11,203.92,2025-04-01
13586cc6-9,P731,15,62.41,2025-03-25
8ef8df27-7,P550,2,65.27,2025-01-08
92ec1cf7-c,P138,10,295.3,2025-01-22
b068936d-1,P097,10,366.27,2025-03-03
67d35e74-3,P993,19,313.33,2025-01-15
9494afef-4,P367,18,329.5,2025-02-13
8af82ea0-6,P138,12,87.01,2025-02-13
0d9e2212-9,P427,4,478.26,2025-03-21
6965a108-a,P210,8,392.98,2025-01-17
ed61f5ce-2,P983,13,338.44,2025-03-20
370b4496-b,P865,14,349.24,2025-02-08
cdaf4354-f,P833,7,327.08,2025-04-01
fcedbcb3-2,P709,10,165.75,2025-02-28
31c89106-7,P485,4,498.62,2025-03-06
221d4c26-c,P827,17,244.9,2025-04-16
fe402ae3-9,P052,19,474.8,2025-03-13
2a621aee-8,P512,6,228.1,2025-03-14
9f363c35-a,P864,3,353.57,2025-04-12
ae9965c8-7,P116,12,78.24,2025-03-05
b3ccb2d9-0,P362,5,168.31,2025-03-17
1bae66cc-b,P385,3,70.61,2025-01-05
18d28555-4,P071,2,171.29,2025-03-14
933d62e3-9,P235,17,194.93,2025-02-16
3a50a6ac-8,P588,16,412.57,2025-03-14
8fcf2ba4-8,P163,18,473.65,2025-03-29
ded8e801-b,P971,20,70.53,2025-02-02
0e365c8a-9,P958,16,322.34,2025-03-07
