transaction_id,customer_id,product_id,quantity,price_per_unit,transaction_date
6d220385-7,6d7a979a-7,9cdf7567-3,5,2508.73,2025-01-06
23e9358c-f,0185a5f8-8,d951a12b-9,6,2637.01,2024-07-21
36d4ac53-b,1babf28e-8,ea696e14-f,3,3231.34,2024-05-12
e151cdb8-c,7251e826-4,d9db1a8a-5,2,2408.61,2025-03-11
d0c7e2ae-f,bb01204c-a,b6544eb8-7,10,373.63,2024-09-22
91259c61-9,cd5a64c0-e,560ab495-1,5,2722.52,2024-08-26
5e6cb204-3,763bb1f9-9,e220a631-2,3,1421.78,2025-03-17
ec5b0bcb-e,624e8a2c-5,95699b19-d,3,4027.48,2024-04-23
a20feb8d-d,0d983bfd-f,ff0ee827-a,5,4043.67,2024-06-13
dc2a02da-d,3f39ab5f-9,95699b19-d,6,4027.48,2024-07-31
612caf08-9,0d983bfd-f,b37952d2-e,1,1500.08,2024-05-16
47cf45d2-6,8d967be4-c,c1a2aac3-7,5,3550.81,2025-02-03
750ad376-3,e669d8fc-e,c32014b7-4,10,333.57,2024-08-31
a6e81082-d,bb01204c-a,1206f00a-0,6,2708.65,2025-01-22
abf07749-0,69a118b7-9,1137bfe2-4,2,4692.25,2025-02-06
edf60904-3,1310a04f-b,bb906874-9,6,3809.64,2024-06-13
7402aa1b-1,9fb83f9a-b,913bba35-4,7,3742.77,2024-10-13
1be095ea-4,1e3c660c-c,fd8f58a9-2,3,460.65,2024-05-29
19e9d9b0-1,6d7a979a-7,d66e55fb-2,9,3115.24,2024-08-14
54120a24-c,4f6c31fb-0,271bc0ab-1,3,1096.67,2024-05-17
bdb639c7-3,2c808b01-e,bb906874-9,10,3809.64,2024-12-01
fd757d10-0,e45f19e4-e,f02313fa-f,6,292.37,2025-02-28
8ff7fba1-4,39af2d84-1,9d584171-9,5,3139.65,2024-04-22
1f2de662-e,92c445d5-5,84c94a80-d,3,1764.35,2024-12-21
499383dd-c,2e29dc2a-d,140750a0-1,7,341.15,2024-05-28
d83f3cb2-4,9a1be0f7-b,b37952d2-e,4,1500.08,2024-05-17
a27cd930-3,74a3ff22-0,b37952d2-e,3,1500.08,2024-09-16
9c4f0e5d-d,d61c7b7b-0,f2fa5e21-e,4,2959.85,2025-02-16
7b4a4a7c-0,212d51a4-5,b37952d2-e,7,1500.08,2024-04-30
c4656271-6,4fa7661e-1,035005bc-9,1,2127.51,2025-01-31
de717bff-8,f8536218-9,922021a1-f,6,3444.64,2024-08-13
4a73cfb7-e,2c808b01-e,d7ec63d7-7,9,4190.08,2024-08-07
1d8a7a17-8,ae038046-a,01ac773e-d,3,2919.64,2024-10-15
f254346f-c,1f36b356-4,d9db1a8a-5,8,2408.61,2025-03-22
6f95da4b-6,94a5d3ca-1,fca61d10-e,7,421.86,2024-09-15
d6952bb2-8,a96c6a1f-d,d7df447c-7,10,2656.62,2024-10-17
32bc4d2c-9,3156e80b-c,0df844f2-7,10,3307.5,2025-01-23
d46027e7-6,62df8eca-c,c32014b7-4,2,333.57,2024-08-09
a0cf13c5-3,874a2adc-6,9414c353-1,3,3740.27,2024-06-11
a121ed41-8,760ef775-4,0cfb4abf-6,1,2152.06,2024-05-28
03abd2fa-6,fd3cdd83-c,d6911d93-9,3,2299.63,2024-12-12
e4b4f1d8-3,34ee0978-c,7324c1df-d,10,1670.5,2025-02-17
a6f795d8-1,95eb8172-e,b4b208a4-5,4,738.13,2024-07-25
83ca2e21-5,c1a03b04-1,e9bff6ed-0,4,4784.67,2024-11-11
9a46c2e7-0,7a85b662-f,befadc51-9,4,4609.92,2024-11-18
a7cb32a0-7,41948164-2,d9bd8870-2,1,2962.55,2025-02-15
437f9790-a,aa0f6a40-3,1137bfe2-4,5,4692.25,2024-05-10
9158a5ba-c,0739d501-d,a60a5180-f,10,3599.18,2024-08-30
8f6e7416-e,69a118b7-9,6f01f108-6,3,2249.53,2024-08-10
0b4e5bb0-2,ef639c6b-7,b4dda7a4-2,1,2948.56,2024-05-17
0bc4f6ae-7,0f55dcde-c,c28dcd83-7,9,2648.73,2024-05-02
d4b66d05-f,e5510004-5,13decee3-9,6,2004.33,2024-09-06
fc9af330-3,a96c6a1f-d,f2fa5e21-e,2,2959.85,2024-12-30
c3e4a184-e,18aafa51-0,f4a6d766-1,2,2602.24,2024-09-09
57c5c961-a,94a5d3ca-1,5954c846-7,10,3168.84,2024-05-11
b7a7a125-9,760ef775-4,199b2e95-b,5,3993.93,2024-07-17
10a1c9e5-d,a5deb2ba-2,bdeb04c6-6,3,2791.35,2024-05-29
58f5911e-1,760ef775-4,7324c1df-d,2,1670.5,2024-11-08
206effc8-9,a7ee5dc3-3,46298e98-a,9,3775.62,2025-03-08
1d6e1362-d,fcf28121-9,d9db1a8a-5,1,2408.61,2024-07-05
dbaefbbd-a,431b63d1-0,3cf6925e-2,1,4132.61,2024-09-10
158052d0-4,fc1ece04-5,c1a2aac3-7,8,3550.81,2024-09-07
21b6e86d-e,e0498de6-5,fca61d10-e,9,421.86,2024-11-22
bd78c4bd-0,e06e94ed-e,abb91990-1,1,1547.77,2024-11-10
bca0c80c-3,0f266190-b,6d325bfc-d,3,4661.23,2024-09-20
1086d7c4-b,fdb7b4ef-6,fd8f58a9-2,7,460.65,2024-06-06
b659ee4a-d,18aafa51-0,b4b208a4-5,7,738.13,2024-11-12
f727892e-2,e5510004-5,d7df447c-7,4,2656.62,2025-03-18
a25621fa-2,39dab267-8,d6911d93-9,8,2299.63,2024-11-26
a664b751-f,54e70394-3,79d91876-8,3,2176.82,2024-07-26
39a44e13-f,2c808b01-e,913bba35-4,3,3742.77,2024-11-05
4716b5e5-d,1babf28e-8,d75d0c61-c,6,4703.43,2024-08-24
322aecd1-0,9c8753cc-8,b4dda7a4-2,6,2948.56,2025-01-01
051b3185-6,43cd136b-5,f4a6d766-1,2,2602.24,2024-12-07
34485d7b-8,4b4ba3e6-c,8f864566-a,2,4025.6,2025-02-20
fe013e3e-a,795b179f-a,b77b8ce0-6,5,1352.36,2024-05-19
3441b28c-6,b0fbcbd4-e,e9fa415b-4,9,2805.54,2025-01-09
36ed2810-1,a5deb2ba-2,0591a423-0,1,4533.67,2025-03-17
35274562-9,54bb7408-c,9cdf7567-3,10,2508.73,2024-06-14
81a25f2b-8,029bfb78-2,02ce108c-1,2,674.38,2024-07-31
690aafed-0,795b179f-a,3d6b6b79-4,9,2100.43,2024-07-02
0500ad24-0,b248cdc0-d,d9bd8870-2,5,2962.55,2024-10-24
9e9dd164-3,b0c540a1-4,a73321a5-a,2,3636.94,2024-06-11
19558ff2-f,4a5d944a-f,1ce6d8dd-e,2,4957.89,2025-04-17
cbcf6000-d,1f36b356-4,9d584171-9,8,3139.65,2024-06-17
3ccdbe69-7,676c5cb8-6,006416af-1,7,1593.79,2024-11-09
