supplier_id,supplier_name,contact_person,email,phone_number,city
ea5c6cec-e,Henderson PLC,Brady Patterson,kevin27@example.com,9466373903,Port Anitaton
b50cefde-d,Powers Group,Daniel Hill,loretta23@example.org,9113598852535,Sextonton
8bb4a374-f,Rodriguez LLC,David Tapia,ywells@example.org,00132694197692004,Loganstad
5cfe9a32-a,"Miller, Kelly and Nelson",Jillian Hayes,vhill@example.org,5602778436,Shorthaven
f6ea0e8c-3,"Lee, Sanchez and Smith",Joseph Tyler,smithlogan@example.com,71065339727113,North Timothy
87294693-e,Hansen Inc,Pamela Williams,stephen45@example.org,16005718914,Cruzview
e57f9c7a-b,Foster Ltd,Katrina Myers,mcdowellshelby@example.com,00194664176046382,Port Danielletown
2040955d-9,"Delacruz, Moore and Lopez",Robert Perkins,brandon66@example.net,2738394136,Leonardberg
984a89c7-1,Rodriguez-Reid,Marissa Reed,vjordan@example.org,203282402376315,Parsonsfort
10f70d13-7,"Crawford, Flores and Smith",Sonya Williams,rickysmith@example.com,0018397766113710,Matthewchester
56efd4c5-0,Reed-Jones,Dr. Donald Rodgers,kpadilla@example.org,5192171944,Spencerberg
dab1b75c-d,"Smith, Johnson and Mcgrath",Michael Hurst,shellygardner@example.com,3378854511,Vaughntown
3c185107-e,Lewis-Stewart,Katherine Richardson,johngreen@example.net,54476703108291,East Justin
007defa4-a,"Ramsey, Baker and Johnson",Michelle Barnes,leonardamanda@example.com,0018915059054,Port Gary
aef4fb71-1,Ruiz-Lopez,Dale Pierce,zevans@example.net,2862179790,Port Judithmouth
b43913be-d,Smith-Reeves,Kristen Delacruz,nicole26@example.org,19037461594865,Lake Saraville
e11d2cc8-2,"Mcmahon, Hoffman and Ashley",Christopher Hurst,zavaladaniel@example.org,136547994247262,West Jenniferhaven
f5534fd4-4,Allen PLC,Julie Russell,phelpskristin@example.net,161262472097578,West Mistyborough
b8014e04-4,Edwards-Montgomery,Mary Lindsey,tommy47@example.org,92372532471206,Robertoport
66c61c76-8,Jones PLC,Jordan Wagner,alejandrascott@example.org,7427393964,Maryshire
23efeb01-6,Stuart LLC,Kimberly Beltran,ericahunter@example.com,4563820749,West Jodyburgh
c4ef7db4-5,Jones and Sons,William Johnson,laura29@example.org,477858009158606,Lesliefurt
c1367802-7,"Lang, Pierce and Campos",Anthony Graves,xclark@example.org,482211556690334,Vasquezland
aade3cbd-f,Jones-Wu,Michael Sandoval,fisherrichard@example.net,264451709816169,Port Heather
f255bfba-8,Knight-Castaneda,Jesus Bates,lpruitt@example.org,30340662952995,Marybury
1623ff46-2,"Waters, Cantu and Cox",Sherry Roth,diane07@example.com,1767321982167566,Lake Matthew
93f468c4-a,"Santos, Turner and Lee",Jose Wilkinson,tswanson@example.com,6272793609,Port Desireeside
2d7cf2c0-c,"James, Waller and Garrett",Lisa Walker,parkscrystal@example.org,6138154682564,Williamshaven
4d13c166-4,Briggs LLC,Stephanie Adams,jfranco@example.com,00174473748180285,New Sarahview
6d9958b2-e,"Johnson, Wilson and Wilson",Susan Mccall,fgreen@example.com,7844723789,Port Erin
4a792db2-b,Turner-Williams,John Hines,mmoore@example.org,15875344528,Jamesborough
dfe6960a-0,"Estes, Brown and Dorsey",Kelsey Johnson,smithaustin@example.net,401339421896253,Weissberg
a023334f-d,Boone-Nicholson,James Davis,johnedwards@example.com,2104157358,West Brian
278c9b63-c,White Inc,Carly Hudson,palmerjoseph@example.net,14575309788,Lake Heidi
243a36b2-5,Reynolds-Riggs,Lisa Moran,donnarodriguez@example.net,00191377630940799,South Melissa
9b297744-4,Sampson-Leonard,Diana Hawkins,donald50@example.org,2988442029,Wandaburgh
67eaf84f-f,"Williams, Thompson and Hoover",Jade Leach,michellebarber@example.org,0018304131178850,East Davidland
741b6d33-8,"Callahan, Graves and Morris",Mrs. Diane Collins,elizabeth68@example.net,4078058393,Melissashire
5db2f2d6-2,Oliver Ltd,Catherine Long,mendezandrew@example.com,858656806478115,Kimberlyshire
c6e383c4-3,"Farrell, Wright and James",Erin Lindsey,grayjulie@example.com,3498475636,West Ericshire
b924fc4c-f,Smith-Kim,Thomas Lyons,teresa12@example.com,0016695229193,South Andres
